CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
01611920108670,01,61192,0108670,2017-18,84,78,37,38,48,50,58,49,24,26,37,38
18750360121657,18,75036,0121657,2017-18,43,43,33,36,48,50,17,23,15,20,37,38
23655736025134,23,65573,6025134,2017-18,41,35,41,35,48,50,7,9,7,9,37,38
57726786066245,57,72678,6066245,2017-18,73,73,69,70,48,50,69,68,64,66,37,38
19647330124024,19,64733,0124024,2017-18,16,19,40,43,48,50,4,6,30,32,37,38
34765056033484,34,76505,6033484,2017-18,35,53,32,36,48,50,41,51,25,27,37,38
19647250114603,19,64725,0114603,2017-18,34,41,48,51,48,50,36,38,38,43,37,38
37680236038004,37,68023,6038004,2017-18,55,57,62,65,48,50,48,42,49,51,37,38
30664566027577,30,66456,6027577,2017-18,33,32,41,44,48,50,28,27,37,37,37,38
49709536052278,49,70953,6052278,2017-18,34,38,41,42,48,50,35,39,25,29,37,38
19647336057988,19,64733,6057988,2017-18,45,44,40,43,48,50,34,36,30,32,37,38
19642121931641,19,64212,1931641,2017-18,10,24,64,66,48,50,1,5,53,54,37,38
34674476097810,34,67447,6097810,2017-18,45,43,44,45,48,50,35,37,33,34,37,38
19647336018758,19,64733,6018758,2017-18,22,30,40,43,48,50,19,27,30,32,37,38
54755236107379,54,75523,6107379,2017-18,32,34,39,44,48,50,24,27,23,27,37,38
16639906110233,16,63990,6110233,2017-18,54,53,58,60,48,50,41,39,45,45,37,38
07618046005110,07,61804,6005110,2017-18,78,78,81,82,48,50,70,67,77,77,37,38
19647336017602,19,64733,6017602,2017-18,31,37,40,43,48,50,27,30,30,32,37,38
19647331931336,19,64733,1931336,2017-18,11,23,40,43,48,50,0,0,30,32,37,38
37684116120968,37,68411,6120968,2017-18,71,73,53,52,48,50,52,56,32,33,37,38
37683386096598,37,68338,6096598,2017-18,66,71,53,55,48,50,60,65,43,45,37,38
01612426118525,01,61242,6118525,2017-18,66,71,49,51,48,50,65,68,39,40,37,38
19646426105969,19,64642,6105969,2017-18,30,31,32,33,48,50,21,22,21,25,37,38
15636856009880,15,63685,6009880,2017-18,56,53,46,43,48,50,45,45,34,34,37,38
37683386039523,37,68338,6039523,2017-18,34,36,53,55,48,50,33,33,43,45,37,38
37683383734431,37,68338,3734431,2017-18,56,63,53,55,48,50,21,26,43,45,37,38
30665556028906,30,66555,6028906,2017-18,77,86,82,82,48,50,74,78,72,74,37,38
15636770114512,15,63677,0114512,2017-18,44,45,23,24,48,50,14,14,11,12,37,38
41689406044077,41,68940,6044077,2017-18,50,52,45,40,48,50,35,43,27,22,37,38
10622656006878,10,62265,6006878,2017-18,33,34,47,49,48,50,28,33,32,36,37,38
49738824930384,49,73882,4930384,2017-18,98,91,45,49,48,50,86,80,31,32,37,38
19646346014476,19,64634,6014476,2017-18,39,34,32,34,48,50,26,24,20,21,37,38
50710430129106,50,71043,0129106,2017-18,40,58,38,42,48,50,28,37,21,25,37,38
33670586116636,33,67058,6116636,2017-18,27,40,49,48,48,50,21,33,35,35,37,38
30736356068639,30,73635,6068639,2017-18,53,55,64,65,48,50,48,48,51,52,37,38
19647336016554,19,64733,6016554,2017-18,32,39,40,43,48,50,31,32,30,32,37,38
19647336019293,19,64733,6019293,2017-18,24,23,40,43,48,50,19,14,30,32,37,38
19643370131573,19,64337,0131573,2017-18,74,75,61,63,48,50,26,26,46,50,37,38
19650456022883,19,65045,6022883,2017-18,61,61,60,61,48,50,41,44,49,50,37,38
33669776031504,33,66977,6031504,2017-18,34,36,39,40,48,50,29,28,28,27,37,38
54720826114672,54,72082,6114672,2017-18,15,20,15,20,48,50,9,11,9,11,37,38
21102152130102,21,10215,2130102,2017-18,--,--,9,7,48,50,--,--,5,8,37,38
36678766109714,36,67876,6109714,2017-18,35,43,35,39,48,50,17,24,22,25,37,38
40687596043095,40,68759,6043095,2017-18,27,34,52,54,48,50,18,27,37,39,37,38
36678503630159,36,67850,3630159,2017-18,2,5,30,33,48,50,0,0,18,20,37,38
56724705630363,56,72470,5630363,2017-18,52,53,54,56,48,50,35,38,43,44,37,38
19649076066781,19,64907,6066781,2017-18,53,53,38,40,48,50,30,35,25,26,37,38
31668036112072,31,66803,6112072,2017-18,46,58,51,59,48,50,36,36,45,47,37,38
01612590128413,01,61259,0128413,2017-18,24,29,35,36,48,50,16,26,28,29,37,38
37683046107999,37,68304,6107999,2017-18,39,46,52,51,48,50,32,38,38,37,37,38
19643291937739,19,64329,1937739,2017-18,78,75,67,71,48,50,43,41,54,56,37,38
27661592734556,27,66159,2734556,2017-18,62,58,39,39,48,50,34,28,21,21,37,38
30665226028559,30,66522,6028559,2017-18,48,47,57,60,48,50,38,39,46,51,37,38
19647331930692,19,64733,1930692,2017-18,0,0,40,43,48,50,0,0,30,32,37,38
57105790132464,57,10579,0132464,2017-18,25,42,20,36,48,50,28,40,22,34,37,38
33751926116438,33,75192,6116438,2017-18,70,75,65,68,48,50,53,58,52,54,37,38
36678766059505,36,67876,6059505,2017-18,34,36,35,39,48,50,13,15,22,25,37,38
19650606023089,19,65060,6023089,2017-18,73,73,65,68,48,50,67,67,59,61,37,38
33769430132522,33,76943,0132522,2017-18,44,38,44,38,48,50,30,30,30,30,37,38
38684783830064,38,68478,3830064,2017-18,0,0.0,55,55,48,50,0,0,50,50,37,38
19647336058283,19,64733,6058283,2017-18,23,31,40,43,48,50,19,18,30,32,37,38
36679186109219,36,67918,6109219,2017-18,24,26,32,34,48,50,11,10,21,23,37,38
30666966030456,30,66696,6030456,2017-18,53,55,45,48,48,50,42,46,42,43,37,38
19647330126458,19,64733,0126458,2017-18,29,32,40,43,48,50,16,18,30,32,37,38
07616480730101,07,61648,0730101,2017-18,10,7,32,32,48,50,2,0,20,19,37,38
19647336019434,19,64733,6019434,2017-18,32,40,40,43,48,50,19,23,30,32,37,38
23752186025118,23,75218,6025118,2017-18,34,33,39,42,48,50,26,31,33,36,37,38
34673143430592,34,67314,3430592,2017-18,61,49,54,55,48,50,33,29,44,45,37,38
44697996049738,44,69799,6049738,2017-18,50,44,31,33,48,50,46,40,21,23,37,38
19644516012801,19,64451,6012801,2017-18,57,63,52,52,48,50,52,50,37,39,37,38
19647336017123,19,64733,6017123,2017-18,39,42,40,43,48,50,29,34,30,32,37,38
19647336017420,19,64733,6017420,2017-18,45,49,40,43,48,50,47,50,30,32,37,38
05615646003446,05,61564,6003446,2017-18,32,31,37,34,48,50,26,26,27,29,37,38
40754576108377,40,75457,6108377,2017-18,40,32,49,49,48,50,28,30,35,36,37,38
07618040102566,07,61804,0102566,2017-18,86,86,81,82,48,50,87,86,77,77,37,38
19647330106914,19,64733,0106914,2017-18,29,30,40,43,48,50,29,29,30,32,37,38
15635291532290,15,63529,1532290,2017-18,50,44,51,49,48,50,14,15,21,22,37,38
36678766036859,36,67876,6036859,2017-18,24,31,35,39,48,50,16,26,22,25,37,38
33752426108039,33,75242,6108039,2017-18,43,43,40,42,48,50,26,30,25,27,37,38
07617886004527,07,61788,6004527,2017-18,28,32,33,34,48,50,25,23,20,20,37,38
37684036040554,37,68403,6040554,2017-18,83,65,42,40,48,50,83,60,17,16,37,38
