CDSCode,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
15633216008882,15,63321,6008882,2018-19,27,28,35,36,50,50,14,13,23,22,38,39
41690056044432,41,69005,6044432,2018-19,74,78,51,53,50,50,66,72,44,46,38,39
37681896110092,37,68189,6110092,2018-19,32,38,53,53,50,50,28,30,41,41,38,39
30103060138800,30,10306,0138800,2018-19,,53,40,44,50,50,,48,30,32,38,39
37683386059638,37,68338,6059638,2018-19,60,66,55,55,50,50,58,64,45,46,38,39
07617966057236,07,61796,6057236,2018-19,32,34,36,36,50,50,19,19,24,25,38,39
19734520125005,19,73452,0125005,2018-19,48,44,50,50,50,50,37,33,39,40,38,39
36677106106470,36,67710,6106470,2018-19,28,30,38,41,50,50,17,19,23,26,38,39
19647336061527,19,64733,6061527,2018-19,19,23,43,45,50,50,11,15,32,34,38,39
30665973035045,30,66597,3035045,2018-19,62,66,60,63,50,50,41,41,51,53,38,39
07617706004451,07,61770,6004451,2018-19,91,89,88,87,50,50,89,88,85,85,38,39
19647250114603,19,64725,0114603,2018-19,41,48,51,54,50,50,38,42,43,46,38,39
27754400106336,27,75440,0106336,2018-19,38,44,30,32,50,50,31,35,19,21,38,39
52715226053474,52,71522,6053474,2018-19,54,63,51,52,50,50,41,62,39,42,38,39
19647336020010,19,64733,6020010,2018-19,94,94,43,45,50,50,89,87,32,34,38,39
07618046097166,07,61804,6097166,2018-19,79,78,82,81,50,50,73,75,77,78,38,39
44697996108146,44,69799,6108146,2018-19,21,21,33,33,50,50,25,28,23,24,38,39
19647336097927,19,64733,6097927,2018-19,78,76,43,45,50,50,67,70,32,34,38,39
30665556028922,30,66555,6028922,2018-19,90,86,82,82,50,50,87,85,74,78,38,39
41690620126722,41,69062,0126722,2018-19,31,51,62,68,50,50,7,12,45,49,38,39
01612596113807,01,61259,6113807,2018-19,57,47,36,36,50,50,72,66,29,29,38,39
37683876106140,37,68387,6106140,2018-19,78,86,85,85,50,50,88,95,81,82,38,39
23752186025118,23,75218,6025118,2018-19,33,33,42,45,50,50,31,17,36,23,38,39
45701106050538,45,70110,6050538,2018-19,16,25,46,44,50,50,18,24,39,38,38,39
37683383731213,37,68338,3731213,2018-19,60,44,55,55,50,50,30,19,45,46,38,39
10621170113548,10,62117,0113548,2018-19,80,85,71,73,50,50,68,70,58,59,38,39
42691956045496,42,69195,6045496,2018-19,47,54,62,65,50,50,38,41,59,60,38,39
40687596109342,40,68759,6109342,2018-19,47,46,54,56,50,50,31,31,39,42,38,39
30666706108484,30,66670,6108484,2018-19,31,36,32,35,50,50,28,30,26,28,38,39
19647336019129,19,64733,6019129,2018-19,34,37,43,45,50,50,20,25,32,34,38,39
45698564530804,45,69856,4530804,2018-19,69,69,55,57,50,50,38,33,29,28,38,39
27661426026538,27,66142,6026538,2018-19,28,30,31,32,50,50,24,27,22,26,38,39
37681303732732,37,68130,3732732,2018-19,83,78,64,61,50,50,73,72,39,38,38,39
45699894530234,45,69989,4530234,2018-19,--,--,38,38,50,50,--,--,35,38,38,39
01612596002059,01,61259,6002059,2018-19,6,3,36,36,50,50,4,2,29,29,38,39
50710766111892,50,71076,6111892,2018-19,46,42,41,39,50,50,42,42,32,31,38,39
19647336017669,19,64733,6017669,2018-19,40,42,43,45,50,50,36,29,32,34,38,39
43696256048177,43,69625,6048177,2018-19,30,34,54,54,50,50,31,32,46,48,38,39
38684786041446,38,68478,6041446,2018-19,49,46,55,56,50,50,42,46,50,49,38,39
43693690107748,43,69369,0107748,2018-19,38,40,41,40,50,50,37,45,33,33,38,39
19647256015432,19,64725,6015432,2018-19,43,52,51,54,50,50,42,49,43,46,38,39
43694274330726,43,69427,4330726,2018-19,21,13,59,59,50,50,2,4,38,39,38,39
45700786050421,45,70078,6050421,2018-19,57,58,57,58,50,50,54,48,54,48,38,39
07617966119515,07,61796,6119515,2018-19,53,51,36,36,50,50,34,33,24,25,38,39
33751923330917,33,75192,3330917,2018-19,66,71,68,69,50,50,50,55,54,55,38,39
36678436036511,36,67843,6036511,2018-19,80,68,59,57,50,50,71,61,45,44,38,39
36678506036610,36,67850,6036610,2018-19,37,38,33,36,50,50,17,24,20,22,38,39
10621666006563,10,62166,6006563,2018-19,25,26,37,38,50,50,19,20,27,30,38,39
35752596049654,35,75259,6049654,2018-19,50,46,41,39,50,50,41,43,29,30,38,39
01612006001242,01,61200,6001242,2018-19,66,59,62,63,50,50,47,40,51,50,38,39
37735696038855,37,73569,6038855,2018-19,29,36,45,46,50,50,25,35,36,36,38,39
19647336017842,19,64733,6017842,2018-19,53,52,43,45,50,50,41,35,32,34,38,39
33751763330115,33,75176,3330115,2018-19,8,8,40,41,50,50,0,1,28,29,38,39
01611190119222,01,61119,0119222,2018-19,44,50,66,66,50,50,34,43,58,58,38,39
19648816021729,19,64881,6021729,2018-19,65,61,45,46,50,50,58,51,35,35,38,39
54722565434527,54,72256,5434527,2018-19,57,83,48,50,50,50,23,40,31,33,38,39
37681970136408,37,68197,0136408,2018-19,50,51,53,53,50,50,23,33,40,42,38,39
19647096014948,19,64709,6014948,2018-19,39,42,40,44,50,50,49,49,30,33,38,39
07617966057210,07,61796,6057210,2018-19,20,24,36,36,50,50,15,16,24,25,38,39
37679916110787,37,67991,6110787,2018-19,50,52,42,42,50,50,49,52,33,33,38,39
19647330124453,19,64733,0124453,2018-19,31,27,43,45,50,50,18,15,32,34,38,39
04614240431502,04,61424,0431502,2018-19,10,15,54,56,50,50,1,4,44,43,38,39
54719446054092,54,71944,6054092,2018-19,29,32,29,32,50,50,22,47,22,47,38,39
34103480118745,34,10348,0118745,2018-19,11,15,30,34,50,50,0,3,28,32,38,39
44697996119077,44,69799,6119077,2018-19,41,36,33,33,50,50,26,26,23,24,38,39
30103063030632,30,10306,3030632,2018-19,62,73,40,44,50,50,42,37,30,32,38,39
27102722730232,27,10272,2730232,2018-19,42,48,52,50,50,50,12,15,36,33,38,39
19651281939701,19,65128,1939701,2018-19,60,62,57,59,50,50,36,37,29,33,38,39
27659616119663,27,65961,6119663,2018-19,16,26,32,36,50,50,16,17,23,28,38,39
24656986025464,24,65698,6025464,2018-19,35,40,35,42,50,50,25,30,19,26,38,39
19757136011035,19,75713,6011035,2018-19,63,61,63,64,50,50,55,59,55,56,38,39
19645506013528,19,64550,6013528,2018-19,53,61,56,59,50,50,47,51,54,58,38,39
56737596055933,56,73759,6055933,2018-19,27,29,63,66,50,50,20,23,57,58,38,39
21654176024574,21,65417,6024574,2018-19,69,72,56,55,50,50,55,66,47,49,38,39
19647336020036,19,64733,6020036,2018-19,76,69,43,45,50,50,61,62,32,34,38,39
33671996032502,33,67199,6032502,2018-19,23,27,33,34,50,50,13,13,23,24,38,39
39685936120505,39,68593,6120505,2018-19,37,37,46,47,50,50,23,25,28,29,38,39
41690050127282,41,69005,0127282,2018-19,25,23,51,53,50,50,18,16,44,46,38,39
22655326025001,22,65532,6025001,2018-19,55,48,48,48,50,50,53,60,36,39,38,39
19649076021984,19,64907,6021984,2018-19,35,36,40,41,50,50,31,28,26,27,38,39
19647336071435,19,64733,6071435,2018-19,71,69,43,45,50,50,68,68,32,34,38,39
39685696105738,39,68569,6105738,2018-19,38,42,50,51,50,50,32,33,35,37,38,39
36677776106827,36,67777,6106827,2018-19,44,46,39,41,50,50,33,34,26,27,38,39
24736196103766,24,73619,6103766,2018-19,28,27,29,32,50,50,16,12,17,18,38,39
30666476071146,30,66647,6071146,2018-19,87,87,68,68,50,50,85,82,59,59,38,39
38684786041339,38,68478,6041339,2018-19,83,84,55,56,50,50,83,79,50,49,38,39
27660920129239,27,66092,0129239,2018-19,32,31,39,37,50,50,32,25,27,26,38,39
41689166043855,41,68916,6043855,2018-19,49,45,49,48,50,50,35,42,36,37,38,39
19647330121095,19,64733,0121095,2018-19,28,31,43,45,50,50,13,13,32,34,38,39
10621586006043,10,62158,6006043,2018-19,57,43,51,50,50,50,48,37,34,37,38,39
49709536052286,49,70953,6052286,2018-19,55,56,42,43,50,50,43,47,29,28,38,39
19647336110951,19,64733,6110951,2018-19,30,33,43,45,50,50,20,20,32,34,38,39
37683383730371,37,68338,3730371,2018-19,54,60,55,55,50,50,24,30,45,46,38,39
53750286053730,53,75028,6053730,2018-19,37,43,38,43,50,50,38,44,37,41,38,39
54755236054290,54,75523,6054290,2018-19,31,31,44,44,50,50,23,31,27,28,38,39
01612006001341,01,61200,6001341,2018-19,77,75,62,63,50,50,61,63,51,50,38,39
04614246116610,04,61424,6116610,2018-19,62,65,54,56,50,50,50,51,44,43,38,39
31668456117824,31,66845,6117824,2018-19,71,72,66,69,50,50,64,67,58,61,38,39
19647336019772,19,64733,6019772,2018-19,25,27,43,45,50,50,15,18,32,34,38,39
45700296050355,45,70029,6050355,2018-19,33,20,33,20,50,50,20,17,20,17,38,39
31669106031223,31,66910,6031223,2018-19,40,42,64,65,50,50,25,27,53,53,38,39
34674476034771,34,67447,6034771,2018-19,54,75,45,46,50,50,47,64,34,35,38,39
19647586020077,19,64758,6020077,2018-19,47,51,45,49,50,50,40,47,33,39,38,39
50712906053110,50,71290,6053110,2018-19,39,39,53,52,50,50,33,31,43,44,38,39
49709126066385,49,70912,6066385,2018-19,0.0,19,22,39,50,50,0.0,18,22,34,38,39
19647336019632,19,64733,6019632,2018-19,34,36,43,45,50,50,19,20,32,34,38,39
07617966099717,07,61796,6099717,2018-19,54,51,36,36,50,50,46,50,24,25,38,39
43693696046189,43,69369,6046189,2018-19,36,37,41,40,50,50,27,26,33,33,38,39
40754576043137,40,75457,6043137,2018-19,40,45,49,48,50,50,31,32,36,36,38,39
16639176010409,16,63917,6010409,2018-19,36,35,46,45,50,50,24,23,38,38,38,39
28662666026900,28,66266,6026900,2018-19,22,24,47,48,50,50,21,24,34,35,38,39
55751845530084,55,75184,5530084,2018-19,43,31,35,41,50,50,13,0,18,18,38,39
30664640113381,30,66464,0113381,2018-19,83,84,69,70,50,50,46,49,58,59,38,39
19647330115287,19,64733,0115287,2018-19,48,47,43,45,50,50,37,36,32,34,38,39
37680236107775,37,68023,6107775,2018-19,68,63,65,64,50,50,61,56,51,51,38,39
19647336017933,19,64733,6017933,2018-19,62,63,43,45,50,50,52,60,32,34,38,39
12630406008213,12,63040,6008213,2018-19,36,39,39,41,50,50,38,32,27,28,38,39
34673226033120,34,67322,6033120,2018-19,21,26,23,27,50,50,15,9,18,15,38,39
34752830102277,34,75283,0102277,2018-19,38,45,47,50,50,50,31,41,35,37,38,39
19647336062699,19,64733,6062699,2018-19,65,62,43,45,50,50,46,51,32,34,38,39
39685936042386,39,68593,6042386,2018-19,36,41,46,47,50,50,19,19,28,29,38,39
49709616093140,49,70961,6093140,2018-19,63,59,69,65,50,50,48,42,51,47,38,39
43104390133496,43,10439,0133496,2018-19,46,61,53,55,50,50,69,74,52,53,38,39
37684526040620,37,68452,6040620,2018-19,43,41,49,49,50,50,33,31,33,36,38,39
33670906112858,33,67090,6112858,2018-19,28,32,36,38,50,50,18,20,24,25,38,39
30739246029052,30,73924,6029052,2018-19,93,91,82,84,50,50,94,92,74,74,38,39
19647330137463,19,64733,0137463,2018-19,,56,43,45,50,50,,23,32,34,38,39
42692296068902,42,69229,6068902,2018-19,51,49,47,44,50,50,36,40,27,29,38,39
36678766036933,36,67876,6036933,2018-19,41,45,39,40,50,50,24,30,25,27,38,39
30664646027643,30,66464,6027643,2018-19,36,36,69,70,50,50,44,43,58,59,38,39
19647336019202,19,64733,6019202,2018-19,47,60,43,45,50,50,40,45,32,34,38,39
56726036055719,56,72603,6055719,2018-19,48,49,55,54,50,50,32,41,43,43,38,39
36678506036644,36,67850,6036644,2018-19,33,32,33,36,50,50,27,29,20,22,38,39
40687596043046,40,68759,6043046,2018-19,52,51,54,56,50,50,46,43,39,42,38,39
30667466030761,30,66746,6030761,2018-19,74,75,57,58,50,50,69,69,53,52,38,39
19647330133272,19,64733,0133272,2018-19,52,51,43,45,50,50,23,26,32,34,38,39
19647330110668,19,64733,0110668,2018-19,4,13,43,45,50,50,0,2,32,34,38,39
34674473430048,34,67447,3430048,2018-19,36,44,45,46,50,50,11,18,34,35,38,39
30664313034204,30,66431,3034204,2018-19,37,42,44,46,50,50,14,13,27,28,38,39
01100170136101,01,10017,0136101,2018-19,68,66,43,45,50,50,56,55,35,36,38,39
13631236008437,13,63123,6008437,2018-19,49,46,40,44,50,50,30,34,28,32,38,39
05615640531509,05,61564,0531509,2018-19,52,62,34,36,50,50,36,26,29,26,38,39
